a2jmidid 8-1
a52dec 0.7.4-9
aalib 1.4rc5-12
acl 2.2.52-2
acpi 1.7-1
acpi_call 1.1.0-47
adwaita-icon-theme 3.20-2
alsa-lib 1.1.1-1
alsa-plugins 1.1.1-1
alsa-utils 1.1.1-1
apr 1.5.2-1
apr-util 1.5.4-2
archlinux-keyring 20160402-1
ardesia 1.1-1
arduino 1:1.6.8-2
arpack 3.3.0-1
aspell 0.60.6.1-5
assimp 3.2-2
at-spi2-atk 2.20.1-2
at-spi2-core 2.20.2-1
atk 2.20.0-1
atkmm 2.24.2-2
atom-editor 1.7.4-2
atop 2.2_3-3
attica-qt4 0.4.2-3
attr 2.4.47-1
audacity 2.1.2-3
autoconf 2.69-3
automake 1.15-1
avahi 0.6.32-2
avidemux-cli 2.5.6-14
avidemux-gtk 2.5.6-14
avrdude 1:6.3-1
babl 0.1.14-1
bash 4.3.042-4
bc 1.06.95-2
binutils 2.26-4
bison 3.0.4-2
bitwig-studio 1.3.9-1
blas 3.6.0-5
blender 17:2.77.a-2
blosc 1.9.1-1
bluez-libs 5.40-1
bluez-utils 5.40-1
boost 1.60.0-5
boost-libs 1.60.0-5
bzip2 1.0.6-5
ca-certificates 20160507-1
ca-certificates-cacert 20140824-3
ca-certificates-mozilla 3.24-1
ca-certificates-utils 20160507-1
cabextract 1.6-1
cadence 0.8.1-4
cairo 1.14.6-1
cairo-perl 1.106-2
cairomm 1.12.0-2
calf 0.0.60-4
cantarell-fonts 1:0.0.24-1
carla-bridges-win32-git 3365.e49b802-1
cblas 3.6.0-5
cdparanoia 10.2-5
celt 0.11.3-2
chromaprint 1.3.1-1
chromium 51.0.2704.84-1
cifs-utils 6.5-1
clang 3.8.0-1
clang-tools-extra 3.8.0-1
clthreads 2.4.0-2
clucene 2.3.3.4-9
clxclient 3.9.0-2
cmake 3.5.2-2
cmst 2016.04.03-1
colord 1.3.2-2
composer 1.1.2-1
compositeproto 0.4.2-3
compton 0.1_beta2.5-3
confuse 2.8-2
conky 1.10.2-1
connman 1.32-1
coreutils 8.25-2
cpupower 4.6-4
cracklib 2.9.6-1
cronie 1.5.0-1
cryptsetup 1.7.1-1
cups 2.1.3-2
cups-filters 1.9.0-1
curl 7.49.1-1
cvs 1.11.23-11
cwiid 0.6.00+svn201-1
damageproto 1.2.1-3
datazenit 1.0.0-1
db 5.3.28-3
dbus 1.10.8-1
dbus-c++ 0.9.0-6
dbus-glib 0.106-1
dcadec 0.2.0-1
dconf 0.26.0-1
debtap 2.8-1
deluge 1.3.12-1
desktop-file-utils 0.22-2
device-mapper 2.02.154-3
dhclient 4.3.4-2
dhcpcd 6.11.0-2
diffutils 3.3-3
ding-libs 0.5.0-1
djview 4.10.6-1
djvulibre 3.5.27-3
dkms 2.2.0.3+git151023-10
dmenu 4.6-1
dmxproto 2.3.1-3
dnsmasq 2.76-1
dnssec-anchors 20150403-1
docbook-xml 4.5-6
docbook-xsl 1.79.1-1
docbook2x 0.8.8-15
dosfstools 4.0-3
dotconf 1.3-4
dpkg 1.17.25-1
dri2proto 2.8-2
dri3proto 1.0-1
dssi 1.1.1-8
dssi-vst 0.9.2-5
dvgrab 3.5-6
e2fsprogs 1.42.13-1
efibootmgr 0.12.27.g5e9700c-1
efivar 0.23.37.g8740389-1
eigen 3.2.8-2
electron 1.1.0-1
elfutils 0.166-1
enca 1.18-1
enchant 1.6.0-7
exfat-utils 1.2.3-2
exiv2 0.25-3
expat 2.1.1-3
faac 1.28-5
faad2 2.7-4
fakeroot 1.20.2-1
fbreader 0.99.4-6
feh 2.16-1
ffmpeg 1:3.0.2-2
ffmpeg0.10 0.10.16-1
ffmpeg2.8 2.8.7-1
ffmpegthumbnailer 2.1.1-1
fftw 3.3.4-2
file 5.27-1
filesystem 2015.09-1
findutils 4.6.0-1
firefox 47.0-1
fixesproto 5.0-3
flac 1.3.1-3
flashplugin 11.2.202.621-1
flatplat-theme 1:3.20.20160404-1
flex 2.6.0-3
flite 2.0.0-2
flowblade 1.6-2
fltk 1.3.3-6
fluidsynth 1.1.6-4
fontconfig 2.11.95-1
fontsproto 2.1.3-1
freeglut 3.0.0-1
freeimage 3.17.0-2
freetype2 2.6.3-1
frei0r-plugins 1.4-4
fribidi 0.19.7-1
ftgl 2.1.3rc5-9
fuse 2.9.6-1
fwbuilder 5.1.0.3599-7
gavl 1.4.0-2
gawk 4.1.3-1
gc 7.4.2-4
gcc-libs-multilib 6.1.1-1
gcc-multilib 6.1.1-1
gconf 3.2.6-4
gcr 3.20.0-1
gd 2.1.1-4
gdbm 1.11-1
gdk-pixbuf2 2.34.0-2
geary 0.11.0-3
geeqie 1.2.3-2
gegl02 0.2.0-4
gendesk 0.6.4-1
geoclue2 2.4.3-1
geocode-glib 3.20.1-2
geoip 1.6.6-2
geoip-database 20160301-2
gettext 0.19.7-1
ghostscript 9.19-1
giblib 1.2.4-6
giflib 5.1.4-1
gimp 2.8.16-1
girara 0.2.6-1
git 2.8.3-1
gitkraken 1.3.0-1
gksu 2.0.2-5
gl2ps 1.3.9-1
glew 1.13.0-1
glib-networking 2.48.2-1
glib-perl 1.321-2
glib2 2.48.1-1
glibc 2.23-4
glibmm 2.48.1-1
glpk 4.60-1
glproto 1.4.17-1
glu 9.0.0-4
gmerlin 1.2.0-7
gmime 2.6.20-2
gmp 6.1.0-4
gnome-code-assistance 3.16.0-4
gnome-desktop 1:3.20.2-1
gnome-keyring 1:3.20.0-1
gnome-mime-data 2.18.0-7
gnome-perl 1.045-4
gnome-settings-daemon 3.20.1+8+g40bf4fd-1
gnome-themes-standard 3.20.2-1
gnome-vfs 2.24.4-9
gnome-vfs-perl 1.082-4
gnomecanvas-perl 1.002-14
gnupg 2.1.12-2
gnutls 3.4.13-1
gobject-introspection 1.48.0-1
gobject-introspection-runtime 1.48.0-1
goocanvas1 1.0.0-3
gparted 0.26.0-1
gperf 3.0.4-7
gpgme 1.6.0-2
gpm 1.20.7-6
graphene 1.4.0-1
graphicsmagick 1.3.24-1
graphite 1:1.3.8-1
grep 2.25-2
groff 1.22.3-6
gromit-mpx-git 1.1.r37.g2abb29b-1
gsettings-desktop-schemas 3.21.2-1
gsfonts 20150811-1
gsl 2.1-2
gsm 1.0.14-1
gssproxy 0.5.0-3
gst-editing-services 1.8.2-1
gst-libav 1.8.1-1
gst-plugins-bad 1.8.1-1
gst-plugins-base 1.8.1-1
gst-plugins-base-libs 1.8.1-1
gst-plugins-good 1.8.1-1
gst-plugins-ugly 1.8.1-1
gst-python 1.8.1-1
gstreamer 1.8.1-1
gstreamer0.10 0.10.36-4
gstreamer0.10-base 0.10.36-3
gstreamer0.10-good 0.10.31-10
gstreamer0.10-good-plugins 0.10.31-10
gtk-chtheme 0.3.1-8
gtk-doc 1.25-1
gtk-engine-murrine 0.98.2-2
gtk-engines 2.21.0-2
gtk-theme-arc 20160331-1
gtk-update-icon-cache 3.20.6-1
gtk2 2.24.30-2
gtk2-perl 1.2498-2
gtk2fontsel 0.1-5
gtk3 3.20.6-1
gtkglext 1.2.0-10
gtkimageview 1.6.4-4
gtkmm 2.24.4-2
gtkmm3 3.20.1-1
gtkspell 2.0.16-3
guile 2.0.11-3
guitarix-git 0.35.0.r23.g00de29e-1
gvfs 1.28.2-1
gzip 1.8-2
harfbuzz 1.2.7-1
harfbuzz-icu 1.2.7-1
hdf5 1.10.0-1
hdparm 9.48-1
hicolor-icon-theme 0.15-1
hspell 1.3-1
http-parser 2.7.0-1
hunspell 1.3.4-1
hwids 20160306-1
hwloc 1.11.3-2
hydrogen 0.9.6.1-3
hyphen 2.8.8-1
i3-wm 4.12-1
i3blocks 1.4-2
i3lock 2.7-1
i3status 2.10-1
iana-etc 20160513-1
icedtea-web 1.6.2-2
icoutils 0.31.0-1
icu 57.1-1
id3lib 3.8.3-16
id3v2 0.1.12-4
ilmbase 2.2.0-2
imagemagick 6.9.4.6-2
imlib2 1.4.9-1
inetutils 1.9.4-2
inkscape 0.91-18
inputproto 2.3.2-1
intel-tbb 4.4_20160413-1
intel-ucode 20151106-1
intltool 0.51.0-1
iproute2 4.5.0-2
iptables 1.6.0-1
iputils 20160308.0db72a4-1
iso-codes 3.68-1
itstool 2.0.2-1
iw 4.3-1
jack2 1.9.10-4
jack_capture 0.9.71-1
jade 1.2.1-10
jansson 2.7-1
jasper 1.900.1-15
java-environment-common 2-2
java-runtime-common 2-2
java-rxtx 2.2pre2-2
jbig2dec 0.12-1
jdk8-openjdk 8.u92-1
jemalloc 4.2.0-1
jfsutils 1.1.15-4
